post_id,archetype,published_at,impressions,likes,replies,reposts,follows,like_rate,engagement_rate,impact_score,score_p10,score_p50,score_p90,audience_fit,niche_index,profile_impact,inference_path,length_baseline,keyword_promo_baseline,random_baseline,pred_impact_tertile,obs_impression_tertile
syn-tech-13,hiring,2026-07-30T15:16:00Z,2210.0,41.0,19.0,6.0,3.0,0.018552,0.029864,53.6,52.3,53.5,54.4,37.0,36.8,82.4,heuristic+prior-map,24.0,4.6,0.185354,mid,low
syn-tech-14,changelog,2026-08-04T10:07:00Z,1980.0,67.0,8.0,9.0,5.0,0.033838,0.042424,53.3,51.1,53.1,55.2,37.0,36.8,81.8,heuristic+prior-map,25.0,2.625,0.493424,low,low
syn-tech-15,tool-reco,2026-08-09T16:21:00Z,4560.0,154.0,16.0,27.0,8.0,0.033772,0.043202,54.7,53.8,55.2,56.3,37.0,36.8,84.6,heuristic+prior-map,22.0,6.55,0.732322,high,mid
syn-tech-16,vague,2026-08-13T20:45:00Z,860.0,11.0,2.0,0.0,0.0,0.012791,0.015116,54.0,52.3,54.3,55.3,36.9,36.7,83.2,heuristic+prior-map,16.0,0.4,0.245807,high,low
syn-tech-17,low-info,2026-08-14T07:03:00Z,240.0,6.0,1.0,0.0,0.0,0.025,0.029167,38.2,37.7,38.2,38.6,36.7,36.5,51.6,heuristic+prior-map,2.0,0.05,0.967604,low,low
syn-tech-18,promo-hard,2026-08-18T13:55:00Z,410.0,4.0,3.0,0.0,1.0,0.009756,0.017073,49.8,47.7,50.0,51.5,36.9,23.8,74.8,heuristic+prior-map,15.0,-29.625,0.836719,low,low
syn-tech-19,promo-soft,2026-08-21T15:30:00Z,1280.0,19.0,7.0,2.0,2.0,0.014844,0.021875,51.2,50.4,51.1,51.9,39.6,31.3,77.6,heuristic+prior-map,17.0,-23.575,0.16817,low,low
syn-tech-20,thread-educational,2026-08-25T14:08:00Z,3370.0,109.0,21.0,16.0,7.0,0.032344,0.043323,53.5,52.3,53.5,54.6,37.1,36.9,82.2,heuristic+prior-map,37.0,-0.075,0.460248,mid,mid
syn-tech-21,hot-take,2026-08-29T21:17:00Z,12110.0,388.0,142.0,76.0,15.0,0.03204,0.050041,53.4,52.2,53.3,54.2,37.0,36.8,82.0,heuristic+prior-map,23.0,4.575,0.902287,mid,high
syn-tech-22,repro-failure,2026-09-03T12:26:00Z,10140.0,319.0,54.0,61.0,13.0,0.03146,0.042801,53.2,51.9,52.9,55.4,37.1,36.9,81.6,heuristic+prior-map,27.0,8.675,0.7332,low,high
syn-tech-23,off-hours-bland,2026-09-07T03:41:00Z,520.0,8.0,0.0,0.0,0.0,0.015385,0.015385,48.1,47.2,48.0,49.0,36.8,36.6,71.4,heuristic+prior-map,8.0,0.2,0.70594,low,low
syn-tech-24,concrete-tip,2026-09-11T14:59:00Z,5680.0,172.0,19.0,29.0,10.0,0.030282,0.038732,53.3,52.3,53.0,55.1,37.0,36.8,81.8,heuristic+prior-map,24.0,4.6,0.461031,low,mid
